USAF,STATION NAME,CTRY,STATE,LAT,LON
8268,WXPOD8278,AF,,+32.950,+065.567
8270,WXPOD8270,AF,,+31.983,+065.483
8284,WXPOD8284,AF,,+32.950,+066.633
10010,JAN MAYEN(NOR-NAVY),NO,,+70.933,-008.667
10014,SORSTOKKEN,NO,,+59.792,+005.341
10015,BRINGELAND,NO,,+61.383,+005.867
10016,RORVIK/RYUM,NO,,+64.850,+011.233
10017,FRIGG,NO,,+59.980,+002.250
10020,VERLEGENHUKEN,NO,,+80.050,+016.250
10030,HORNSUND,NO,,+77.000,+015.500
10040,NY-ALESUND II,NO,,+78.917,+011.933
10050,ISFJORD RADIO,SV,,+78.067,+013.633
10060,EDGEOYA,NO,,+78.250,+022.817
10061,HOTELLNESET,SV,,+78.250,+015.550
10070,NY-ALESUND,SV,,+78.917,+011.933
10071,LONGYEARBYEN,SV,,+78.217,+015.583
10080,LONGYEAR,SV,,+78.246,+015.466
10090,KARL XII OYA,SV,,+80.650,+025.000
10100,ANDOYA,NO,,+69.293,+016.144
10110,KVITOYA,SV,,+80.067,+031.500
10121,ESPENES,NO,,+69.117,+017.767
10140,SENJA-LAUKHELLA,NO,,+69.233,+017.900
10141,LEIRKJOSEN,NO,,+69.550,+017.917
10150,HEKKINGEN FYR,NO,,+69.600,+017.833
10160,KONGSOYA,NO,,+78.933,+028.900
10161,SENJA-GRASMYRSKOGEN,NO,,+69.283,+017.767
10170,AKSELOYA,SV,,+77.683,+014.783
10171,GIBOSTAD,NO,,+69.350,+018.083
10190,SVARTTANGEN,NO,,+77.517,+020.817
10200,SORKAPPOYA,SV,,+76.483,+016.550
10230,BARDUFOSS,NO,,+69.056,+018.540
10231,DRAUGEN,NO,,+64.350,+007.800
10240,PYRAMIDEN,NO,,+78.650,+016.367
10241,MESTERVIK,NO,,+69.333,+018.917
10250,TROMSO,NO,,+69.683,+018.919
10260,TROMSO,NO,,+69.650,+018.933
10270,TROMSO-HOLT,NO,,+69.650,+018.900
10280,BJORNOYA ISLAND,NO,,+74.517,+019.017
10300,TROMSO/SKATTURA,NO,,+69.700,+019.017
10320,OVERBYGD,NO,,+69.017,+019.283
10330,TORSVAG FYR,NO,,+70.250,+019.500
10340,FUGLOYKALVEN FYR,NO,,+70.317,+020.150
10350,LYNGEN GJERDVASSBU,NO,,+69.567,+020.100
10351,OTEREN,NO,,+69.250,+019.883
10360,SKIBOTIN,NO,,+69.367,+020.267
10370,SKIBOTN 2,NO,,+69.383,+020.283
10371,NORD-LENANGEN,NO,,+69.917,+020.150
10400,SKJERVOY,NO,,+70.033,+020.983
10401,SKJERVOY,NO,,+70.033,+020.983
10410,NORDREISA-OYENG,NO,,+69.733,+021.017
10420,HASVIK-SLUSKFJELLET,NO,,+70.617,+022.450
10430,ROGNSUNDET,NO,,+70.417,+022.817
